Compound ID,File Name,Scan Number,Correct Formula
1,WF12010,788,C8H12N2O
2,WF12010,1312,C11H18O3
3,WF12011,1203,C11H18N2O
4,WF12011,1217,C9H12O3
1,12013,925,C8H12N2O
5,12013,1105,C12H20N2
6,12013,1573,C13H20N2O2
7,12013,1587,C13H20N2O2
8,12015,776,C10H20O
9,12015,948,C9H10O2
10,12043,657,C9H14N2
11,12043,776,C8H12N2O
12,12043,862,C10H16N2
13,12043,1195,C10H16N2O
14,WF12059,1166,C8H8O2S
15,WF12059,1262,C8H10O2S
14,WF12060,1166,C8H8O2S
16,WF12060,1166,C7H8O2S
15,WF12060,1261,C8H10O2S
17,12013,718,C8H10N2O
18,WP12023-DCM,812,C11H18N2
19,WF11085,927,C9H14N2O
20,AW13184_ETOH,520,C6H10O3
